(a^5),(b*k(5)*(a^4)),(c*k(5)*(a^4)),(k(10)*(a^3)*(b^2)),(2*b*c*k(5)*(a^3)),(k(10)*(a^3)*(c^2)),(k(10)*(a^2)*(b^3)),(c*k(30)*(a^2)*(b^2)),(b*k(30)*(a^2)*(c^2)),(k(10)*(a^2)*(c^3)),(a*k(5)*(b^4)),(2*a*c*k(5)*(b^3)),(a*k(30)*(b^2)*(c^2)),(2*a*b*k(5)*(c^3)),(a*k(5)*(c^4)),(b^5),(c*k(5)*(b^4)),(k(10)*(b^3)*(c^2)),(k(10)*(b^2)*(c^3)),(b*k(5)*(c^4)),(c^5)
(2*a*g*k(5)*(d^3)),((2*a*h*(d^3))+(2*b*g*(d^3))+(6*a*e*g*(d^2))),((2*a*i*(d^3))+(2*c*g*(d^3))+(6*a*f*g*(d^2))),(1/20*k(2)*((20*b*h*(d^3))+(60*a*d*g*(e^2))+(60*a*e*h*(d^2))+(60*b*e*g*(d^2)))),((b*i*(d^3))+(c*h*(d^3))+(3*a*e*i*(d^2))+(3*a*f*h*(d^2))+(3*b*f*g*(d^2))+(3*c*e*g*(d^2))+(6*a*d*e*f*g)),(1/20*k(2)*((20*c*i*(d^3))+(60*a*d*g*(f^2))+(60*a*f*i*(d^2))+(60*c*f*g*(d^2)))),(1/20*k(2)*((20*a*g*(e^3))+(60*a*d*h*(e^2))+(60*b*d*g*(e^2))+(60*b*e*h*(d^2)))),(1/60*k(6)*((60*a*d*i*(e^2))+(60*a*f*g*(e^2))+(60*b*e*i*(d^2))+(60*b*f*h*(d^2))+(60*c*d*g*(e^2))+(60*c*e*h*(d^2))+(120*a*d*e*f*h)+(120*b*d*e*f*g))),(1/60*k(6)*((60*a*d*h*(f^2))+(60*a*e*g*(f^2))+(60*b*d*g*(f^2))+(60*b*f*i*(d^2))+(60*c*e*i*(d^2))+(60*c*f*h*(d^2))+(120*a*d*e*f*i)+(120*c*d*e*f*g))),(1/20*k(2)*((20*a*g*(f^3))+(60*a*d*i*(f^2))+(60*c*d*g*(f^2))+(60*c*f*i*(d^2)))),((2*a*h*(e^3))+(2*b*g*(e^3))+(6*b*d*h*(e^2))),((a*i*(e^3))+(c*g*(e^3))+(3*a*f*h*(e^2))+(3*b*d*i*(e^2))+(3*b*f*g*(e^2))+(3*c*d*h*(e^2))+(6*b*d*e*f*h)),(1/60*k(6)*((60*a*e*h*(f^2))+(60*a*f*i*(e^2))+(60*b*d*h*(f^2))+(60*b*e*g*(f^2))+(60*c*d*i*(e^2))+(60*c*f*g*(e^2))+(120*b*d*e*f*i)+(120*c*d*e*f*h))),((a*h*(f^3))+(b*g*(f^3))+(3*a*e*i*(f^2))+(3*b*d*i*(f^2))+(3*c*d*h*(f^2))+(3*c*e*g*(f^2))+(6*c*d*e*f*i)),((2*a*i*(f^3))+(2*c*g*(f^3))+(6*c*d*i*(f^2))),(2*b*h*k(5)*(e^3)),((2*b*i*(e^3))+(2*c*h*(e^3))+(6*b*f*h*(e^2))),(1/20*k(2)*((20*c*i*(e^3))+(60*b*e*h*(f^2))+(60*b*f*i*(e^2))+(60*c*f*h*(e^2)))),(1/20*k(2)*((20*b*h*(f^3))+(60*b*e*i*(f^2))+(60*c*e*h*(f^2))+(60*c*f*i*(e^2)))),((2*b*i*(f^3))+(2*c*h*(f^3))+(6*c*e*i*(f^2))),(2*c*i*k(5)*(f^3))
(a*k(30)*(d^2)*(g^2)),(1/30*k(6)*((30*b*(d^2)*(g^2))+(60*a*d*e*(g^2))+(60*a*g*h*(d^2)))),(1/30*k(6)*((30*c*(d^2)*(g^2))+(60*a*d*f*(g^2))+(60*a*g*i*(d^2)))),(1/30*k(3)*((30*a*(d^2)*(h^2))+(30*a*(e^2)*(g^2))+(60*b*d*e*(g^2))+(60*b*g*h*(d^2))+(120*a*d*e*g*h))),(1/60*k(6)*((60*a*e*f*(g^2))+(60*a*h*i*(d^2))+(60*b*d*f*(g^2))+(60*b*g*i*(d^2))+(60*c*d*e*(g^2))+(60*c*g*h*(d^2))+(120*a*d*e*g*i)+(120*a*d*f*g*h))),(1/30*k(3)*((30*a*(d^2)*(i^2))+(30*a*(f^2)*(g^2))+(60*c*d*f*(g^2))+(60*c*g*i*(d^2))+(120*a*d*f*g*i))),(1/30*k(3)*((30*b*(d^2)*(h^2))+(30*b*(e^2)*(g^2))+(60*a*d*e*(h^2))+(60*a*g*h*(e^2))+(120*b*d*e*g*h))),((c*(d^2)*(h^2))+(c*(e^2)*(g^2))+(2*a*d*f*(h^2))+(2*a*g*i*(e^2))+(2*b*e*f*(g^2))+(2*b*h*i*(d^2))+(4*a*d*e*h*i)+(4*a*e*f*g*h)+(4*b*d*e*g*i)+(4*b*d*f*g*h)+(4*c*d*e*g*h)),((b*(d^2)*(i^2))+(b*(f^2)*(g^2))+(2*a*d*e*(i^2))+(2*a*g*h*(f^2))+(2*c*e*f*(g^2))+(2*c*h*i*(d^2))+(4*a*d*f*h*i)+(4*a*e*f*g*i)+(4*b*d*f*g*i)+(4*c*d*e*g*i)+(4*c*d*f*g*h)),(1/30*k(3)*((30*c*(d^2)*(i^2))+(30*c*(f^2)*(g^2))+(60*a*d*f*(i^2))+(60*a*g*i*(f^2))+(120*c*d*f*g*i))),(1/30*k(6)*((30*a*(e^2)*(h^2))+(60*b*d*e*(h^2))+(60*b*g*h*(e^2)))),(1/60*k(6)*((60*a*e*f*(h^2))+(60*a*h*i*(e^2))+(60*b*d*f*(h^2))+(60*b*g*i*(e^2))+(60*c*d*e*(h^2))+(60*c*g*h*(e^2))+(120*b*d*e*h*i)+(120*b*e*f*g*h))),((a*(e^2)*(i^2))+(a*(f^2)*(h^2))+(2*b*d*e*(i^2))+(2*b*g*h*(f^2))+(2*c*d*f*(h^2))+(2*c*g*i*(e^2))+(4*a*e*f*h*i)+(4*b*d*f*h*i)+(4*b*e*f*g*i)+(4*c*d*e*h*i)+(4*c*e*f*g*h)),(1/60*k(6)*((60*a*e*f*(i^2))+(60*a*h*i*(f^2))+(60*b*d*f*(i^2))+(60*b*g*i*(f^2))+(60*c*d*e*(i^2))+(60*c*g*h*(f^2))+(120*c*d*f*h*i)+(120*c*e*f*g*i))),(1/30*k(6)*((30*a*(f^2)*(i^2))+(60*c*d*f*(i^2))+(60*c*g*i*(f^2)))),(b*k(30)*(e^2)*(h^2)),(1/30*k(6)*((30*c*(e^2)*(h^2))+(60*b*e*f*(h^2))+(60*b*h*i*(e^2)))),(1/30*k(3)*((30*b*(e^2)*(i^2))+(30*b*(f^2)*(h^2))+(60*c*e*f*(h^2))+(60*c*h*i*(e^2))+(120*b*e*f*h*i))),(1/30*k(3)*((30*c*(e^2)*(i^2))+(30*c*(f^2)*(h^2))+(60*b*e*f*(i^2))+(60*b*h*i*(f^2))+(120*c*e*f*h*i))),(1/30*k(6)*((30*b*(f^2)*(i^2))+(60*c*e*f*(i^2))+(60*c*h*i*(f^2)))),(c*k(30)*(f^2)*(i^2))
(2*a*d*k(5)*(g^3)),((2*a*e*(g^3))+(2*b*d*(g^3))+(6*a*d*h*(g^2))),((2*a*f*(g^3))+(2*c*d*(g^3))+(6*a*d*i*(g^2))),(1/20*k(2)*((20*b*e*(g^3))+(60*a*d*g*(h^2))+(60*a*e*h*(g^2))+(60*b*d*h*(g^2)))),((b*f*(g^3))+(c*e*(g^3))+(3*a*e*i*(g^2))+(3*a*f*h*(g^2))+(3*b*d*i*(g^2))+(3*c*d*h*(g^2))+(6*a*d*g*h*i)),(1/20*k(2)*((20*c*f*(g^3))+(60*a*d*g*(i^2))+(60*a*f*i*(g^2))+(60*c*d*i*(g^2)))),(1/20*k(2)*((20*a*d*(h^3))+(60*a*e*g*(h^2))+(60*b*d*g*(h^2))+(60*b*e*h*(g^2)))),(1/60*k(6)*((60*a*d*i*(h^2))+(60*a*f*g*(h^2))+(60*b*e*i*(g^2))+(60*b*f*h*(g^2))+(60*c*d*g*(h^2))+(60*c*e*h*(g^2))+(120*a*e*g*h*i)+(120*b*d*g*h*i))),(1/60*k(6)*((60*a*d*h*(i^2))+(60*a*e*g*(i^2))+(60*b*d*g*(i^2))+(60*b*f*i*(g^2))+(60*c*e*i*(g^2))+(60*c*f*h*(g^2))+(120*a*f*g*h*i)+(120*c*d*g*h*i))),(1/20*k(2)*((20*a*d*(i^3))+(60*a*f*g*(i^2))+(60*c*d*g*(i^2))+(60*c*f*i*(g^2)))),((2*a*e*(h^3))+(2*b*d*(h^3))+(6*b*e*g*(h^2))),((a*f*(h^3))+(c*d*(h^3))+(3*a*e*i*(h^2))+(3*b*d*i*(h^2))+(3*b*f*g*(h^2))+(3*c*e*g*(h^2))+(6*b*e*g*h*i)),(1/60*k(6)*((60*a*e*h*(i^2))+(60*a*f*i*(h^2))+(60*b*d*h*(i^2))+(60*b*e*g*(i^2))+(60*c*d*i*(h^2))+(60*c*f*g*(h^2))+(120*b*f*g*h*i)+(120*c*e*g*h*i))),((a*e*(i^3))+(b*d*(i^3))+(3*a*f*h*(i^2))+(3*b*f*g*(i^2))+(3*c*d*h*(i^2))+(3*c*e*g*(i^2))+(6*c*f*g*h*i)),((2*a*f*(i^3))+(2*c*d*(i^3))+(6*c*f*g*(i^2))),(2*b*e*k(5)*(h^3)),((2*b*f*(h^3))+(2*c*e*(h^3))+(6*b*e*i*(h^2))),(1/20*k(2)*((20*c*f*(h^3))+(60*b*e*h*(i^2))+(60*b*f*i*(h^2))+(60*c*e*i*(h^2)))),(1/20*k(2)*((20*b*e*(i^3))+(60*b*f*h*(i^2))+(60*c*e*h*(i^2))+(60*c*f*i*(h^2)))),((2*b*f*(i^3))+(2*c*e*(i^3))+(6*c*f*h*(i^2))),(2*c*f*k(5)*(i^3))
(a*k(5)*(g^4)),((b*(g^4))+(4*a*h*(g^3))),((c*(g^4))+(4*a*i*(g^3))),(1/10*k(2)*((20*b*h*(g^3))+(30*a*(g^2)*(h^2)))),((2*b*i*(g^3))+(2*c*h*(g^3))+(6*a*h*i*(g^2))),(1/10*k(2)*((20*c*i*(g^3))+(30*a*(g^2)*(i^2)))),(1/10*k(2)*((20*a*g*(h^3))+(30*b*(g^2)*(h^2)))),(1/30*k(6)*((30*c*(g^2)*(h^2))+(60*a*g*i*(h^2))+(60*b*h*i*(g^2)))),(1/30*k(6)*((30*b*(g^2)*(i^2))+(60*a*g*h*(i^2))+(60*c*h*i*(g^2)))),(1/10*k(2)*((20*a*g*(i^3))+(30*c*(g^2)*(i^2)))),((a*(h^4))+(4*b*g*(h^3))),((2*a*i*(h^3))+(2*c*g*(h^3))+(6*b*g*i*(h^2))),(1/30*k(6)*((30*a*(h^2)*(i^2))+(60*b*g*h*(i^2))+(60*c*g*i*(h^2)))),((2*a*h*(i^3))+(2*b*g*(i^3))+(6*c*g*h*(i^2))),((a*(i^4))+(4*c*g*(i^3))),(b*k(5)*(h^4)),((c*(h^4))+(4*b*i*(h^3))),(1/10*k(2)*((20*c*i*(h^3))+(30*b*(h^2)*(i^2)))),(1/10*k(2)*((20*b*h*(i^3))+(30*c*(h^2)*(i^2)))),((b*(i^4))+(4*c*h*(i^3))),(c*k(5)*(i^4))
(d^5),(e*k(5)*(d^4)),(f*k(5)*(d^4)),(k(10)*(d^3)*(e^2)),(2*e*f*k(5)*(d^3)),(k(10)*(d^3)*(f^2)),(k(10)*(d^2)*(e^3)),(f*k(30)*(d^2)*(e^2)),(e*k(30)*(d^2)*(f^2)),(k(10)*(d^2)*(f^3)),(d*k(5)*(e^4)),(2*d*f*k(5)*(e^3)),(d*k(30)*(e^2)*(f^2)),(2*d*e*k(5)*(f^3)),(d*k(5)*(f^4)),(e^5),(f*k(5)*(e^4)),(k(10)*(e^3)*(f^2)),(k(10)*(e^2)*(f^3)),(e*k(5)*(f^4)),(f^5)
(g*k(5)*(d^4)),((h*(d^4))+(4*e*g*(d^3))),((i*(d^4))+(4*f*g*(d^3))),(1/10*k(2)*((20*e*h*(d^3))+(30*g*(d^2)*(e^2)))),((2*e*i*(d^3))+(2*f*h*(d^3))+(6*e*f*g*(d^2))),(1/10*k(2)*((20*f*i*(d^3))+(30*g*(d^2)*(f^2)))),(1/10*k(2)*((20*d*g*(e^3))+(30*h*(d^2)*(e^2)))),(1/30*k(6)*((30*i*(d^2)*(e^2))+(60*d*f*g*(e^2))+(60*e*f*h*(d^2)))),(1/30*k(6)*((30*h*(d^2)*(f^2))+(60*d*e*g*(f^2))+(60*e*f*i*(d^2)))),(1/10*k(2)*((20*d*g*(f^3))+(30*i*(d^2)*(f^2)))),((g*(e^4))+(4*d*h*(e^3))),((2*d*i*(e^3))+(2*f*g*(e^3))+(6*d*f*h*(e^2))),(1/30*k(6)*((30*g*(e^2)*(f^2))+(60*d*e*h*(f^2))+(60*d*f*i*(e^2)))),((2*d*h*(f^3))+(2*e*g*(f^3))+(6*d*e*i*(f^2))),((g*(f^4))+(4*d*i*(f^3))),(h*k(5)*(e^4)),((i*(e^4))+(4*f*h*(e^3))),(1/10*k(2)*((20*f*i*(e^3))+(30*h*(e^2)*(f^2)))),(1/10*k(2)*((20*e*h*(f^3))+(30*i*(e^2)*(f^2)))),((h*(f^4))+(4*e*i*(f^3))),(i*k(5)*(f^4))
(k(10)*(d^3)*(g^2)),(1/10*k(2)*((20*g*h*(d^3))+(30*e*(d^2)*(g^2)))),(1/10*k(2)*((20*g*i*(d^3))+(30*f*(d^2)*(g^2)))),(((d^3)*(h^2))+(3*d*(e^2)*(g^2))+(6*e*g*h*(d^2))),(1/20*k(2)*((20*h*i*(d^3))+(60*d*e*f*(g^2))+(60*e*g*i*(d^2))+(60*f*g*h*(d^2)))),(((d^3)*(i^2))+(3*d*(f^2)*(g^2))+(6*f*g*i*(d^2))),(((e^3)*(g^2))+(3*e*(d^2)*(h^2))+(6*d*g*h*(e^2))),(1/30*k(3)*((30*f*(d^2)*(h^2))+(30*f*(e^2)*(g^2))+(60*d*g*i*(e^2))+(60*e*h*i*(d^2))+(120*d*e*f*g*h))),(1/30*k(3)*((30*e*(d^2)*(i^2))+(30*e*(f^2)*(g^2))+(60*d*g*h*(f^2))+(60*f*h*i*(d^2))+(120*d*e*f*g*i))),(((f^3)*(g^2))+(3*f*(d^2)*(i^2))+(6*d*g*i*(f^2))),(1/10*k(2)*((20*g*h*(e^3))+(30*d*(e^2)*(h^2)))),(1/20*k(2)*((20*g*i*(e^3))+(60*d*e*f*(h^2))+(60*d*h*i*(e^2))+(60*f*g*h*(e^2)))),(1/30*k(3)*((30*d*(e^2)*(i^2))+(30*d*(f^2)*(h^2))+(60*e*g*h*(f^2))+(60*f*g*i*(e^2))+(120*d*e*f*h*i))),(1/20*k(2)*((20*g*h*(f^3))+(60*d*e*f*(i^2))+(60*d*h*i*(f^2))+(60*e*g*i*(f^2)))),(1/10*k(2)*((20*g*i*(f^3))+(30*d*(f^2)*(i^2)))),(k(10)*(e^3)*(h^2)),(1/10*k(2)*((20*h*i*(e^3))+(30*f*(e^2)*(h^2)))),(((e^3)*(i^2))+(3*e*(f^2)*(h^2))+(6*f*h*i*(e^2))),(((f^3)*(h^2))+(3*f*(e^2)*(i^2))+(6*e*h*i*(f^2))),(1/10*k(2)*((20*h*i*(f^3))+(30*e*(f^2)*(i^2)))),(k(10)*(f^3)*(i^2))
(k(10)*(d^2)*(g^3)),(1/10*k(2)*((20*d*e*(g^3))+(30*h*(d^2)*(g^2)))),(1/10*k(2)*((20*d*f*(g^3))+(30*i*(d^2)*(g^2)))),(((e^2)*(g^3))+(3*g*(d^2)*(h^2))+(6*d*e*h*(g^2))),(1/20*k(2)*((20*e*f*(g^3))+(60*d*e*i*(g^2))+(60*d*f*h*(g^2))+(60*g*h*i*(d^2)))),(((f^2)*(g^3))+(3*g*(d^2)*(i^2))+(6*d*f*i*(g^2))),(((d^2)*(h^3))+(3*h*(e^2)*(g^2))+(6*d*e*g*(h^2))),(1/30*k(3)*((30*i*(d^2)*(h^2))+(30*i*(e^2)*(g^2))+(60*d*f*g*(h^2))+(60*e*f*h*(g^2))+(120*d*e*g*h*i))),(1/30*k(3)*((30*h*(d^2)*(i^2))+(30*h*(f^2)*(g^2))+(60*d*e*g*(i^2))+(60*e*f*i*(g^2))+(120*d*f*g*h*i))),(((d^2)*(i^3))+(3*i*(f^2)*(g^2))+(6*d*f*g*(i^2))),(1/10*k(2)*((20*d*e*(h^3))+(30*g*(e^2)*(h^2)))),(1/20*k(2)*((20*d*f*(h^3))+(60*d*e*i*(h^2))+(60*e*f*g*(h^2))+(60*g*h*i*(e^2)))),(1/30*k(3)*((30*g*(e^2)*(i^2))+(30*g*(f^2)*(h^2))+(60*d*e*h*(i^2))+(60*d*f*i*(h^2))+(120*e*f*g*h*i))),(1/20*k(2)*((20*d*e*(i^3))+(60*d*f*h*(i^2))+(60*e*f*g*(i^2))+(60*g*h*i*(f^2)))),(1/10*k(2)*((20*d*f*(i^3))+(30*g*(f^2)*(i^2)))),(k(10)*(e^2)*(h^3)),(1/10*k(2)*((20*e*f*(h^3))+(30*i*(e^2)*(h^2)))),(((f^2)*(h^3))+(3*h*(e^2)*(i^2))+(6*e*f*i*(h^2))),(((e^2)*(i^3))+(3*i*(f^2)*(h^2))+(6*e*f*h*(i^2))),(1/10*k(2)*((20*e*f*(i^3))+(30*h*(f^2)*(i^2)))),(k(10)*(f^2)*(i^3))
(d*k(5)*(g^4)),((e*(g^4))+(4*d*h*(g^3))),((f*(g^4))+(4*d*i*(g^3))),(1/10*k(2)*((20*e*h*(g^3))+(30*d*(g^2)*(h^2)))),((2*e*i*(g^3))+(2*f*h*(g^3))+(6*d*h*i*(g^2))),(1/10*k(2)*((20*f*i*(g^3))+(30*d*(g^2)*(i^2)))),(1/10*k(2)*((20*d*g*(h^3))+(30*e*(g^2)*(h^2)))),(1/30*k(6)*((30*f*(g^2)*(h^2))+(60*d*g*i*(h^2))+(60*e*h*i*(g^2)))),(1/30*k(6)*((30*e*(g^2)*(i^2))+(60*d*g*h*(i^2))+(60*f*h*i*(g^2)))),(1/10*k(2)*((20*d*g*(i^3))+(30*f*(g^2)*(i^2)))),((d*(h^4))+(4*e*g*(h^3))),((2*d*i*(h^3))+(2*f*g*(h^3))+(6*e*g*i*(h^2))),(1/30*k(6)*((30*d*(h^2)*(i^2))+(60*e*g*h*(i^2))+(60*f*g*i*(h^2)))),((2*d*h*(i^3))+(2*e*g*(i^3))+(6*f*g*h*(i^2))),((d*(i^4))+(4*f*g*(i^3))),(e*k(5)*(h^4)),((f*(h^4))+(4*e*i*(h^3))),(1/10*k(2)*((20*f*i*(h^3))+(30*e*(h^2)*(i^2)))),(1/10*k(2)*((20*e*h*(i^3))+(30*f*(h^2)*(i^2)))),((e*(i^4))+(4*f*h*(i^3))),(f*k(5)*(i^4))
(g^5),(h*k(5)*(g^4)),(i*k(5)*(g^4)),(k(10)*(g^3)*(h^2)),(2*h*i*k(5)*(g^3)),(k(10)*(g^3)*(i^2)),(k(10)*(g^2)*(h^3)),(i*k(30)*(g^2)*(h^2)),(h*k(30)*(g^2)*(i^2)),(k(10)*(g^2)*(i^3)),(g*k(5)*(h^4)),(2*g*i*k(5)*(h^3)),(g*k(30)*(h^2)*(i^2)),(2*g*h*k(5)*(i^3)),(g*k(5)*(i^4)),(h^5),(i*k(5)*(h^4)),(k(10)*(h^3)*(i^2)),(k(10)*(h^2)*(i^3)),(h*k(5)*(i^4)),(i^5)
